keyword,average_monthly_searches,quarter_change,year_change,competition,source_period,decision
обязательное обучение сотрудников,10-100,0%,0%,—,2025-07..2026-06,active proxy cluster
обучение персонала информационной безопасности,0-10,0%,0%,—,2025-07..2026-06,exclude from initial spend
обучение сотрудников информационной безопасности,10-100,-100%,0%,—,2025-07..2026-06,watchlist only
обучение по информационной безопасности сотрудников,0-10,—,—,—,2025-07..2026-06,vertical validation only
курс по информационной безопасности для сотрудников,0-10,—,—,—,2025-07..2026-06,vertical validation only
обучение информационной безопасности персонала,0-10,—,—,—,2025-07..2026-06,vertical validation only
проверка знаний по информационной безопасности,0-10,—,—,—,2025-07..2026-06,vertical validation only
обучение сотрудников финансовых организаций,0-10,—,—,—,2025-07..2026-06,vertical validation only
обучение сотрудников МФО,0-10,—,—,—,2025-07..2026-06,vertical validation only
обучение сотрудников страховой компании,0-10,—,—,—,2025-07..2026-06,vertical validation only
обучение сотрудников брокерской компании,0-10,—,—,—,2025-07..2026-06,vertical validation only
LMS для финансовых организаций,0-10,—,—,—,2025-07..2026-06,vertical validation only
