Keyword,Source,Language,Monthly range,Quarter change,Year change,Competition,Top bid min USD,Top bid max USD,Decision
платформа для обучения сотрудников,Original,RU,10-100,0%,0%,Low,,,P1 ads and landing
онлайн платформа для обучения сотрудников,Original,RU,No measurable data,,,,,,Do not launch separately
система обучения персонала,Original,RU,10-100,0%,-100%,Not shown,,,P2 limited test and SEO
система обучения персонала в организации,Original,RU,0-10,0%,0%,Not shown,,,SEO only
система обучения и развития персонала,Original,RU,10-100,0%,0%,Not shown,,,P2 test
LMS система управления обучением,Original,RU,10-100,0%,0%,Medium,,,P1 ads
LMS система обучения,Original,RU,10-100,-100%,-100%,Not shown,,,P2 limited test
LMS для бизнеса,Original,RU,No measurable data,,,,,,SEO copy only
LMS Казахстан,Original,RU,No measurable data,,,,,,SEO copy only
LMS в Казахстане,Original,RU,No measurable data,,,,,,SEO copy only
онбординг новых сотрудников,Original,RU,10-100,0%,0%,Low,,,P1 onboarding group
онбординг и адаптация сотрудников,Original,RU,No measurable data,,,,,,Use broader wording
платформа для адаптации сотрудников,Original,RU,No measurable data,,,,,,SEO only
тестирование персонала онлайн,Original,RU,10-100,0%,Growth from zero,Low,,,P1 knowledge control
система тестирования сотрудников,Original,RU,10-100,0%,0%,Not shown,,,P1 knowledge control
учёт обучения сотрудников,Original,RU,No measurable data,,,,,,SEO and product copy
онлайн обучение сотрудников,Original,RU,10-100,Growth from zero,Growth from zero,Low,,,P1 ads
дистанционное обучение сотрудников,Original,RU,10-100,0%,0%,Not shown,,,P2 test
система обучения сотрудников купить,Original,RU,No measurable data,,,,,,Do not launch
платформа обучения персонала купить,Original,RU,No measurable data,,,,,,Do not launch
автоматизация обучения сотрудников,Original,RU,10-100,0%,Growth from zero,Low,,,P1 automation group
обучение сотрудников ломбарда,Original,RU,0-10,,,Not shown,,,Industry landing and ABM
курс для сотрудников ломбарда,Original,RU,0-10,,,Not shown,,,Industry landing and ABM
обучение сотрудников МФО,Original,RU,0-10,,,Not shown,,,Industry landing and ABM
создание курса из PDF,Original,RU,0-10,,,Not shown,,,Product differentiator
генерация курса из документа,Original,RU,0-10,,,Not shown,,,Product differentiator
LMS платформа,Expansion,RU,100-1000,-90%,-90%,Medium,0.51,1.25,P1 strict match and negatives
платформа LMS,Expansion,RU,10-100,0%,0%,Medium,0.55,0.83,P1 ads
LMS система,Expansion,RU,10-100,0%,0%,Medium,0.39,0.74,P1 ads
LMS это,Expansion,RU,100-1000,0%,0%,Low,0.55,0.78,SEO article only
обучение LMS,Expansion,RU,10-100,Growth from zero,0%,Medium,,,P2 test
платформа для обучения персонала,Expansion,RU,10-100,0%,0%,Low,,,P1 ads and landing
корпоративное обучение,Expansion,RU,10-100,0%,0%,Medium,0.50,2.18,P2 broad test
корпоративное обучение сотрудников,Expansion,RU,10-100,Growth from zero,0%,High,,,P1 B2B group
система дистанционного обучения,Expansion,RU,10-100,0%,0%,Low,,,P2 test
платформа для корпоративного обучения,Expansion,RU,10-100,0%,Growth from zero,Low,,,P1 B2B group
обучение персонала,Expansion,RU,10-100,0%,0%,Low,,,SEO and limited test
развитие персонала,Expansion,RU,10-100,0%,0%,Low,,,SEO content
адаптация персонала,Expansion,RU,10-100,0%,0%,Low,,,SEO and onboarding page
проверка знаний сотрудников,Expansion,RU,10-100,Growth from zero,Growth from zero,Low,,,P1 knowledge control
онбординг сотрудников,Expansion,RU,10-100,0%,0%,Medium,0.55,2.34,P1 onboarding group
onboarding новых сотрудников,Expansion,RU,10-100,-100%,-100%,Not shown,,,Do not prioritize
дистанционное обучение персонала,Expansion,RU,10-100,0%,0%,Not shown,,,P2 test
онбординг и адаптация,Expansion,RU,10-100,0%,Growth from zero,Low,,,P2 content and ads
автоматизация обучения персонала,Expansion,RU,10-100,0%,Growth from zero,High,0.54,14.91,P1 exact match only
платформа для создания онлайн курсов,Expansion,RU,10-100,0%,0%,Low,,,Secondary creator segment
конструктор онлайн курсов,Expansion,RU,10-100,Growth from zero,0%,Low,,,Secondary creator segment
создание онлайн курса,Expansion,RU,10-100,0%,0%,Low,,,SEO content
база знаний для сотрудников,Expansion,RU,10-100,0%,Growth from zero,High,,,Adjacent segment test
корпоративная база знаний,Expansion,RU,10-100,0%,Growth from zero,Low,,,Adjacent SEO page
система управления знаниями,Expansion,RU,10-100,0%,0%,Low,,,Adjacent SEO page
платформа для создания курсов,Expansion,RU,10-100,0%,0%,Low,0.32,0.86,Secondary creator segment
қызметкерлерді оқыту платформасы,Kazakh test,KK,0-10,,,Not shown,,,Localization only
қызметкерлерді оқыту жүйесі,Kazakh test,KK,0-10,,,Not shown,,,Localization only
қызметкерлерді онлайн оқыту,Kazakh test,KK,0-10,,,Not shown,,,Localization only
персоналды оқыту жүйесі,Kazakh test,KK,0-10,,,Not shown,,,Localization only
оқыту платформасы,Kazakh test,KK,0-10,,,Not shown,,,Localization only
қызметкерлерді бейімдеу,Kazakh test,KK,0-10,,,Not shown,,,Localization only
қызметкерлерді тестілеу,Kazakh test,KK,0-10,,,Not shown,,,Localization only
білімді тексеру,Kazakh test,KK,0-10,,,Not shown,,,Localization only
корпоративтік оқыту,Kazakh test,KK,0-10,,,Not shown,,,Localization only
LMS Қазақстан,Kazakh test,KK,0-10,,,Not shown,,,Localization only
