"Campaign","Ad group","Negative keyword","Match type","Level","Reason"
"KZ | HR | Search | RU","","школа","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","университет","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","студент","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","школьник","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","учитель","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","репетитор","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","дети","Phrase","Campaign","Non-B2B education"
"KZ | HR | Search | RU","","курсовая","Phrase","Campaign","Academic intent"
"KZ | HR | Search | RU","","диплом","Phrase","Campaign","Academic intent"
"KZ | HR | Search | RU","","реферат","Phrase","Campaign","Academic intent"
"KZ | HR | Search | RU","","скачать бесплатно","Phrase","Campaign","Free-download intent"
"KZ | HR | Search | RU","","вакансия","Phrase","Campaign","Job-seeker intent"
"KZ | HR | Search | RU","","работа","Phrase","Campaign","Job-seeker intent"
"KZ | HR | Search | RU","","зарплата","Phrase","Campaign","Job-seeker intent"
"KZ | HR | Search | RU","","резюме","Phrase","Campaign","Job-seeker intent"
"KZ | HR | Search | RU","","тест на беременность","Phrase","Campaign","Consumer test intent"
"KZ | HR | Search | RU","","тест iq","Phrase","Campaign","Consumer psychometric intent"
"KZ | HR | Search | RU","","тест личности","Phrase","Campaign","Consumer psychometric intent"
"KZ | HR | Search | RU","","профориентация","Phrase","Campaign","Consumer guidance intent"
"KZ | HR | Search | RU","","экзамен","Phrase","Campaign","Academic test intent"
"KZ | HR | Search | RU","","ответы на тест","Phrase","Campaign","Answer-seeking intent"
"KZ | HR | Search | RU","","решебник","Phrase","Campaign","Answer-seeking intent"
"KZ | HR | Search | RU","","проверка судимости","Phrase","Campaign","Background-check intent outside product"
"KZ | HR | Search | RU","","благонадежность","Phrase","Campaign","Background-check intent outside product"
"KZ | HR | Search | RU","","детектор лжи","Phrase","Campaign","Background-check intent outside product"
"KZ | HR | Search | RU","","полиграф","Phrase","Campaign","Background-check intent outside product"
"KZ | HR | Search | RU","","проверка резюме","Phrase","Campaign","CV-screening intent outside product"
"KZ | HR | Search | RU","","проверка документов кандидата","Phrase","Campaign","Identity/document-check intent outside product"
"KZ | HR | Search | RU","AG1 | Employee onboarding","кандидат","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG1 | Employee onboarding","соискатель","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG1 | Employee onboarding","найм","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG2 | Onboarding platform","кандидат","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG2 | Onboarding platform","соискатель","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG2 | Onboarding platform","найм","Phrase","Ad group","Keep recruitment intent out of onboarding"
"KZ | HR | Search | RU","AG3 | Candidate assessment","онбординг","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
"KZ | HR | Search | RU","AG3 | Candidate assessment","адаптация сотрудников","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
"KZ | HR | Search | RU","AG3 | Candidate assessment","новых сотрудников","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
"KZ | HR | Search | RU","AG4 | Candidate testing platform","онбординг","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
"KZ | HR | Search | RU","AG4 | Candidate testing platform","адаптация сотрудников","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
"KZ | HR | Search | RU","AG4 | Candidate testing platform","новых сотрудников","Phrase","Ad group","Keep employee adaptation intent out of candidate assessment"
