keyword,language,region,operator_variant,base_frequency,operator_refined_frequency,research_period,research_date,related_query_evidence,budget_forecast_impressions,budget_forecast_clicks,budget_forecast_cpc,budget_forecast_spend,intended_audience_problem,intent_class,decision,source_url,notes
платформа для обучения сотрудников,ru,KZ,платформа для обучения сотрудников,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR/L&D: найти готовую систему корпоративного обучения,commercial,PENDING validation,,seed
корпоративное обучение сотрудников,ru,KZ,корпоративное обучение сотрудников,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR: внедрить корпоративное обучение,commercial,PENDING validation,,seed
система обучения персонала,ru,KZ,система обучения персонала,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR: нужна система учёта и управления обучением,commercial,PENDING validation,,seed
проверка знаний сотрудников,ru,KZ,проверка знаний сотрудников,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR/methodologist: контроль знаний,commercial,PENDING validation,,seed
тестирование персонала онлайн,ru,KZ,тестирование персонала онлайн,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR: онлайн-тестирование сотрудников,commercial,PENDING validation,,seed
обязательное обучение сотрудников,ru,KZ,обязательное обучение сотрудников,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,compliance/HR: обязательное обучение,commercial,PENDING validation,,seed
автоматизация обучения персонала,ru,KZ,автоматизация обучения персонала,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,руководитель: автоматизировать обучение,commercial,PENDING validation,,seed
LMS система управления обучением,ru,KZ,LMS система управления обучением,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,IT/HR: ищет LMS-категорию,commercial-ambiguous,PENDING validation,,"seed, category intent risk"
LMS платформа,ru,KZ,LMS платформа,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,IT/HR: категорийный запрос,ambiguous,PENDING validation,,Google showed 100-1000 but -90% YoY
обучение сотрудников финансовых организаций,ru,KZ,обучение сотрудников финансовых организаций,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,фин. организация: обучение персонала,commercial,PENDING validation (vertical),,paused group
обучение сотрудников ломбарда,ru,KZ,обучение сотрудников ломбарда,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,ломбард: обучение персонала,commercial,PENDING validation (vertical),,paused group
обучение по ПОД/ФТ,ru,KZ,обучение по ПОД/ФТ,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,МФО/ломбард/страховая: AML обязательное обучение,commercial,PENDING validation (vertical),,paused group
обучение по информационной безопасности,ru,KZ,обучение по информационной безопасности,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,любая компания: ИБ обучение,commercial,PENDING validation,,could be separate cluster
онбординг сотрудников,ru,KZ,онбординг сотрудников,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR: адаптация новых сотрудников,commercial,PENDING validation,,separate cluster candidate
курс из PDF для сотрудников,ru,KZ,курс из PDF,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR: конвертация документов в курс,differentiator,PENDING validation,,feature intent low volume
LMS Казахстан,ru,KZ,LMS Казахстан,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,локальный спрос,ambiguous,PENDING validation,,SEO/content not paid initially
қызметкерлерді оқыту,kk,KZ,қызметкерлерді оқыту,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR KZ-язык: обучение сотрудников,commercial,PENDING validation (KK only),,separate KK campaign only with evidence
қызметкерлерді тестілеу,kk,KZ,қызметкерлерді тестілеу,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR KZ-язык: тестирование,commercial,PENDING validation (KK only),,separate KK campaign only with evidence
қызметкерлерді оқыту жүйесі,kk,KZ,қызметкерлерді оқыту жүйесі,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR KZ-язык: система обучения,commercial,PENDING validation (KK only),,separate KK campaign only with evidence
корпоративтік оқыту,kk,KZ,корпоративтік оқыту,PENDING,PENDING,12 months,PENDING,,PENDING,PENDING,PENDING,PENDING,HR KZ-язык: корпоративное обучение,commercial,PENDING validation (KK only),,separate KK campaign only with evidence
