campaign,ad_group,ad_variant,ad_format,title,text,display_url,final_url_template,utm_content,notes,status
KZ | Finance | Search | RU,AG1 Knowledge control,v1,combinatorial_text,Проверка знаний сотрудников,Онлайн-тесты по вашим документам. Контроль прохождения и отчёты. Демо для компании.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag1_knowledge_v1,Message match: knowledge check + control. No compliance promises.,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,v2,combinatorial_text,Тестирование персонала онлайн,Курсы и тесты из внутренних документов. Результаты видит HR. Демо по запросу.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag1_knowledge_v2,Message match: testing + visible results. No compliance promises.,planned active
KZ | Finance | Search | RU,AG2 Mandatory training,v1,combinatorial_text,Обязательное обучение сотрудников,"Быстрый запуск внутренних курсов: ИБ, инструктажи, отчёты. Демо для вашей компании.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag2_mandatory_v1,Proxy cluster - no finance promise. Message match: mandatory training speed.,planned active
KZ | Finance | Search | RU,AG2 Mandatory training,v2,combinatorial_text,Внутреннее обучение без расширения HR,"Курсы из ваших документов, журнал прохождения, сертификаты. Демо по запросу.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag2_mandatory_v2,Matches BRIEF promise territory. No compliance promises.,planned active
KZ | Finance | Search | RU,AG3 Employee training,v1,combinatorial_text,Платформа обучения сотрудников,"Корпоративное обучение по вашим документам: курс, тест, сертификат. Демо для компании.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag3_employee_v1,Main commercial phrase match.,planned active
KZ | Finance | Search | RU,AG3 Employee training,v2,combinatorial_text,Система обучения персонала,Курсы из внутренних регламентов. Контроль знаний и отчётность. Демо по запросу.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag3_employee_v2,HR language: system + control + reporting.,planned active
KZ | Finance | Search | RU,AG4 Automation,v1,combinatorial_text,Автоматизация обучения персонала,Курсы из документов компании за минуты. Назначение и контроль. Демо для руководителей.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag4_automation_v1,Automation promise: fast course creation from documents.,planned active
KZ | Finance | Search | RU,AG4 Automation,v2,combinatorial_text,Обучение сотрудников без ручной работы,Автоматическое создание курсов из регламентов. Отчёты готовы. Демо по запросу.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag4_automation_v2,Automation promise: no manual work.,planned active
KZ | Finance | Search | RU,AG5 LMS category,v1,combinatorial_text,LMS для компании в Казахстане,"Платформа корпоративного обучения: курсы, тесты, журнал. Данные в контуре Казахстана. Демо.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag5_lms_v1,Category intent + KZ data contour claim (in contract).,planned active
KZ | Finance | Search | RU,AG5 LMS category,v2,combinatorial_text,LMS система управления обучением,Обучайте сотрудников по своим документам: от курса до сертификата. Демо для компании.,kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag5_lms_v2,Category intent match.,planned active
KZ | Finance | Search | RU,AG6 Vertical validation,v1,combinatorial_text,Обучение для финансовых организаций,"Внутренние курсы по ИБ и ПОД/ФТ для ломбардов, МФО, страховых. Демо.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag6_vertical_v1,Vertical validation only; PAUSED initially. Finance promise limited to target verticals.,paused
KZ | Finance | Search | RU,AG6 Vertical validation,v2,combinatorial_text,Обучение сотрудников ломбарда и МФО,"Курсы по вашим документам, контроль прохождения, отчёты. Демо по запросу.",kml.kz/ru/finance,https://www.kml.kz/ru/finance,ag6_vertical_v2,Vertical validation only; PAUSED initially.,paused
