Campaign,Negative keyword,Match type,Level
KZ | Finance | Search | RU,школа,Phrase,Campaign
KZ | Finance | Search | RU,университет,Phrase,Campaign
KZ | Finance | Search | RU,студент,Phrase,Campaign
KZ | Finance | Search | RU,школьник,Phrase,Campaign
KZ | Finance | Search | RU,учитель,Phrase,Campaign
KZ | Finance | Search | RU,репетитор,Phrase,Campaign
KZ | Finance | Search | RU,дети,Phrase,Campaign
KZ | Finance | Search | RU,курсовая,Phrase,Campaign
KZ | Finance | Search | RU,диплом,Phrase,Campaign
KZ | Finance | Search | RU,вакансия,Phrase,Campaign
KZ | Finance | Search | RU,работа,Phrase,Campaign
KZ | Finance | Search | RU,бесплатно,Phrase,Campaign
KZ | Finance | Search | RU,бесплатные курсы,Phrase,Campaign
KZ | Finance | Search | RU,создать онлайн школу,Phrase,Campaign
KZ | Finance | Search | RU,учебный центр,Phrase,Campaign
KZ | Finance | Search | RU,Moodle,Phrase,Campaign
KZ | Finance | Search | RU,LMS 901,Phrase,Campaign
KZ | Finance | Search | RU,Audi,Phrase,Campaign
KZ | Finance | Search | RU,автомобиль,Phrase,Campaign
KZ | Finance | Search | RU,запчасти,Phrase,Campaign
