campaign,ad_group,cluster,keyword_with_operators,base_keyword,language,operators,match_behavior,notes,status
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""проверка знаний сотрудников""",проверка знаний сотрудников,ru,quotes fixed word count,Exact phrase - only queries with exactly this word set show,PENDING validation,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""проверка знаний персонала""",проверка знаний персонала,ru,quotes fixed word count,Exact phrase - employee knowledge check,PENDING validation,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""тестирование персонала онлайн""",тестирование персонала онлайн,ru,quotes fixed word count,Exact phrase - online staff testing,PENDING validation,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""тестирование сотрудников онлайн""",тестирование сотрудников онлайн,ru,quotes fixed word count,Exact phrase - online staff testing,PENDING validation,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""система тестирования сотрудников""",система тестирования сотрудников,ru,quotes fixed word count,Exact phrase - staff testing system,PENDING validation,planned active
KZ | Finance | Search | RU,AG1 Knowledge control,Knowledge control,"""контроль знаний сотрудников""",контроль знаний сотрудников,ru,quotes fixed word count,Exact phrase - knowledge control,PENDING validation,planned active
KZ | Finance | Search | RU,AG2 Mandatory training,Mandatory training,"""обязательное обучение сотрудников""",обязательное обучение сотрудников,ru,quotes fixed word count,Exact phrase - mandatory training; proxy cluster not finance proof,PENDING validation,planned active with validation cap
KZ | Finance | Search | RU,AG2 Mandatory training,Mandatory training,"""обучение персонала организации""",обучение персонала организации,ru,quotes fixed word count,Exact phrase - org staff training,PENDING validation,planned active
KZ | Finance | Search | RU,AG2 Mandatory training,Mandatory training,"""внутреннее обучение сотрудников""",внутреннее обучение сотрудников,ru,quotes fixed word count,Exact phrase - internal training,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""корпоративное обучение сотрудников""",корпоративное обучение сотрудников,ru,quotes fixed word count,Exact phrase - corporate training,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""обучение персонала компании""",обучение персонала компании,ru,quotes fixed word count,Exact phrase - company staff training,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""платформа для обучения сотрудников""",платформа для обучения сотрудников,ru,quotes fixed word count,Exact phrase - main commercial phrase,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""платформа для обучения персонала""",платформа для обучения персонала,ru,quotes fixed word count,Exact phrase - staff training platform,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""система обучения персонала""",система обучения персонала,ru,quotes fixed word count,Exact phrase - staff training system,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""онлайн обучение сотрудников""",онлайн обучение сотрудников,ru,quotes fixed word count,Exact phrase - online staff training,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""онбординг новых сотрудников""",онбординг новых сотрудников,ru,quotes fixed word count,Exact phrase - onboarding new staff,PENDING validation,planned active
KZ | Finance | Search | RU,AG3 Employee training,Employee training,"""адаптация новых сотрудников""",адаптация новых сотрудников,ru,quotes fixed word count,Exact phrase - onboarding/adaptation,PENDING validation,planned active
KZ | Finance | Search | RU,AG4 Automation,Automation,"""автоматизация обучения персонала""",автоматизация обучения персонала,ru,quotes fixed word count,Exact phrase - training automation,PENDING validation,planned active
KZ | Finance | Search | RU,AG4 Automation,Automation,"""автоматизация обучения сотрудников""",автоматизация обучения сотрудников,ru,quotes fixed word count,Exact phrase - training automation,PENDING validation,planned active
KZ | Finance | Search | RU,AG5 LMS category,LMS category,"""LMS система управления обучением""",LMS система управления обучением,ru,quotes fixed word count,Category intent; keep tight negatives for LMS ambiguity,PENDING validation,planned active with strict negatives
KZ | Finance | Search | RU,AG5 LMS category,LMS category,"""LMS для компании""",LMS для компании,ru,quotes fixed word count,Category intent B2B,PENDING validation,planned active with strict negatives
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение сотрудников финансовых организаций""",обучение сотрудников финансовых организаций,ru,quotes fixed word count,Vertical direct volume likely low,PENDING validation,paused
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение сотрудников ломбарда""",обучение сотрудников ломбарда,ru,quotes fixed word count,Vertical validation only,PENDING validation,paused
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение сотрудников МФО""",обучение сотрудников МФО,ru,quotes fixed word count,Vertical validation only,PENDING validation,paused
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение по ПОД/ФТ""",обучение по ПОД/ФТ,ru,quotes fixed word count,AML training vertical,PENDING validation,paused
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение по информационной безопасности""",обучение по информационной безопасности,ru,quotes fixed word count,InfoSec training,PENDING validation,paused
KZ | Finance | Search | RU,AG6 Vertical validation,Vertical finance,"""обучение сотрудников страховой компании""",обучение сотрудников страховой компании,ru,quotes fixed word count,Vertical validation only,PENDING validation,paused
