"Campaign","Campaign status","Ad group","Ad group status","Keyword","Match type","Status","Final URL","Research evidence","Research source"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","онбординг сотрудников","Exact","Paused","","10-100; medium competition; bid range observed","kz-keyword-planner-results-2026-08-07.csv:42"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","онбординг сотрудников","Phrase","Paused","","10-100; medium competition; bid range observed","kz-keyword-planner-results-2026-08-07.csv:42"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","онбординг новых сотрудников","Exact","Paused","","10-100","kz-keyword-planner-results-2026-08-07.csv:12"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","онбординг новых сотрудников","Phrase","Paused","","10-100","kz-keyword-planner-results-2026-08-07.csv:12"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","адаптация новых сотрудников","Exact","Paused","","Planner expansion; onboarding intent","kz-google-ads-keywords-2026-08-07.csv:18"
"KZ | HR | Search | RU","Paused","AG1 | Employee onboarding","Paused","адаптация новых сотрудников","Phrase","Paused","","Planner expansion; onboarding intent","kz-google-ads-keywords-2026-08-07.csv:18"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","платформа для онбординга","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","платформа для онбординга","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","система онбординга сотрудников","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","система онбординга сотрудников","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","платформа для адаптации сотрудников","Exact","Paused","","Autocomplete/demand-plan candidate","kz-search-demand-2026-08-07.md:61"
"KZ | HR | Search | RU","Paused","AG2 | Onboarding platform","Paused","платформа для адаптации сотрудников","Phrase","Paused","","Autocomplete/demand-plan candidate","kz-search-demand-2026-08-07.md:61"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","оценка кандидатов","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","оценка кандидатов","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","оценка кандидатов при найме","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","оценка кандидатов при найме","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","проверка знаний кандидатов","Exact","Paused","","PENDING live demand validation","implemented candidate-assessment flow"
"KZ | HR | Search | RU","Paused","AG3 | Candidate assessment","Paused","проверка знаний кандидатов","Phrase","Paused","","PENDING live demand validation","implemented candidate-assessment flow"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","тестирование кандидатов","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","тестирование кандидатов","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","тестирование кандидатов при приеме на работу","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","тестирование кандидатов при приеме на работу","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","платформа тестирования кандидатов","Exact","Paused","","PENDING live demand validation","owner-approved product cluster"
"KZ | HR | Search | RU","Paused","AG4 | Candidate testing platform","Paused","платформа тестирования кандидатов","Phrase","Paused","","PENDING live demand validation","owner-approved product cluster"
