"Campaign","Campaign status","Ad group","Ad group status","Keyword","Match type","Status","Final URL","Research evidence","Research source"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","проверка знаний сотрудников","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:41"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","проверка знаний сотрудников","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:41"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","система тестирования сотрудников","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:15"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","система тестирования сотрудников","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:15"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","тестирование персонала онлайн","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:16"
"KZ | Finance | Search | RU","Paused","AG1 | Knowledge control","Enabled","тестирование персонала онлайн","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:16"
"KZ | Finance | Search | RU","Paused","AG1b | Mandatory training","Enabled","обязательное обучение сотрудников","Exact","Enabled","","10-100","kz-finance-keyword-planner-results-2026-08-07.csv:2"
"KZ | Finance | Search | RU","Paused","AG1b | Mandatory training","Enabled","обязательное обучение сотрудников","Phrase","Enabled","","10-100","kz-finance-keyword-planner-results-2026-08-07.csv:2"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","корпоративное обучение сотрудников","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:35"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","корпоративное обучение сотрудников","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:35"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для корпоративного обучения","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:37"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для корпоративного обучения","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:37"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для обучения сотрудников","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:2"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для обучения сотрудников","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:2"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для обучения персонала","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:33"
"KZ | Finance | Search | RU","Paused","AG2 | Employee training","Enabled","платформа для обучения персонала","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:33"
"KZ | Finance | Search | RU","Paused","AG3 | Automation","Enabled","автоматизация обучения персонала","Exact","Enabled","","10-100; high competition","kz-keyword-planner-results-2026-08-07.csv:46"
"KZ | Finance | Search | RU","Paused","AG4 | LMS category","Enabled","LMS система управления обучением","Exact","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:7"
"KZ | Finance | Search | RU","Paused","AG4 | LMS category","Enabled","LMS система управления обучением","Phrase","Enabled","","10-100","kz-keyword-planner-results-2026-08-07.csv:7"
"KZ | Finance | Search | RU","Paused","AG4 | LMS category","Enabled","LMS платформа","Exact","Enabled","","100-1000; -90% QoQ and YoY","kz-keyword-planner-results-2026-08-07.csv:28"
"KZ | Finance | Search | RU","Paused","AG4 | LMS category","Enabled","LMS платформа","Phrase","Enabled","","100-1000; -90% QoQ and YoY","kz-keyword-planner-results-2026-08-07.csv:28"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","обучение сотрудников финансовых организаций","Exact","Paused","","0-10","kz-finance-keyword-planner-results-2026-08-07.csv:9"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","обучение сотрудников ломбарда","Exact","Paused","","0-10","kz-keyword-planner-results-2026-08-07.csv:23"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","обучение сотрудников МФО","Exact","Paused","","0-10","kz-finance-keyword-planner-results-2026-08-07.csv:10"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","обучение сотрудников страховой компании","Exact","Paused","","0-10","kz-finance-keyword-planner-results-2026-08-07.csv:11"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","обучение сотрудников брокерской компании","Exact","Paused","","0-10","kz-finance-keyword-planner-results-2026-08-07.csv:12"
"KZ | Finance | Search | RU","Paused","AG5 | Vertical validation","Paused","LMS для финансовых организаций","Exact","Paused","","0-10","kz-finance-keyword-planner-results-2026-08-07.csv:13"
